State: PRELAUNCH, Time: 1800.78s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.86m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.80s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.81s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.84s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.85s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.95m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.87s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.89s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.91s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.92s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.95s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.96s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.95m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.98s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.97m, P: 1004.05hPa
State: PRELAUNCH, Time: 1801.00s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.97m, P: 1004.05hPa
State: PRELAUNCH, Time: 1801.02s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.95m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.03s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.98m, P: 1004.05hPa
State: PRELAUNCH, Time: 1801.05s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.98m, P: 1004.05hPa
State: PRELAUNCH, Time: 1801.07s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.09s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.01, 0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.11s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.12s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.14s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
